Date,Case / Controversy,State / Level,Headline,Source,People / Organisations,Category / Status,Report-ready status note,Article URL,Evidence classification
2014-02-20,Adarsh,Maharashtra,Adarsh scam: Clean chit to ex-CM Shivajirao Patil-Nilangekar,Indian Express,Shivajirao Patil-Nilangekar,Clean chit,CBI told Bombay High Court it found no evidence warranting action against him.,https://indianexpress.com/article/cities/mumbai/adarsh-scam-clean-chit-to-ex-cm-shivajirao-patil-nilangekar/,Court/agency outcome favourable to accused
2014-09-21,Irrigation,Maharashtra,"Irrigation scam: ACB gets Home Ministry’s nod to probe roles of Tatkare, Pawar",Indian Express,Ajit Pawar; Sunil Tatkare,ACB inquiry,ACB received approval to investigate alleged irregularities in irrigation projects; later inquiries also produced exculpatory findings for some individuals.,https://indianexpress.com/article/cities/mumbai/irrigation-scam-acb-gets-home-ministrys-nod-to-probe-roles-of-tatkare-pawar-4685154/,Investigation / legal proceeding
2014-11-11,National Games,Jharkhand,Suresh Kalmadi grilled in Ranchi National Games scam,Indian Express,Suresh Kalmadi,Investigation,Kalmadi was questioned in an alleged National Games procurement scandal; investigators said it was too early to rule him in/out as an accused.,https://indianexpress.com/article/india/india-others/suresh-kalmadi-quizzed-in-national-games-scam/,Investigation / legal proceeding
2015-01-02,National Games,Kerala,Kerala: CPM alleges Commonwealth Games model corruption in National Games,Indian Express,Oommen Chandy government; sports officials,Opposition allegation,CPI(M) alleged irregularities in National Games contracting; this was a political allegation rather than a conviction.,https://indianexpress.com/article/political-pulse/kerala-cpm-alleges-commonwealth-games-model-corruption-in-national-games/,Allegation / political claim
2015-02-26,Solar scam,Kerala,Kerala solar scam: Phone calls reveal Oommen Chandy’s links with accused,Indian Express,Oommen Chandy; solar-scam accused,Commission investigation / allegation,Phone records were cited before a judicial commission; Chandy denied wrongdoing.,https://indianexpress.com/article/india/india-others/kerala-solar-scam-phone-calls-reveal-oommen-chandys-links-with-accused/,Allegation / political claim
2015-12-03,Solar scam,Kerala,Kerala CM Chandy took Rs 5.5 cr bribe: solar scam accused tells panel,Indian Express,Oommen Chandy; Biju Radhakrishnan; Saritha Nair,Allegation before commission,A principal accused alleged a Rs 5.5-crore bribe; Chandy denied the allegation.,https://indianexpress.com/article/india/india-news-india/solar-scam-accused-deposes-before-probe-panel-paid-rs-5-5-crore-as-bribe-to-chandy/,Allegation / political claim
2015-12-04,Solar scam,Kerala,Kerala solar panel scam: Oommen Chandy refutes allegations levelled by prime accused,Indian Express,Oommen Chandy; Biju Radhakrishnan,Denial / commission proceedings,Chandy rejected allegations made by the principal accused.,https://indianexpress.com/article/india/india-news-india/kerala-solar-scam-wont-succumb-to-blackmail-politics-says-oommen-chandy/,Controversy / reporting
2015-12-19,AJL Panchkula,Haryana,"Against legal advice, Hooda re-allotted Panchkula plot to AJL",Indian Express,Bhupinder Singh Hooda; AJL,Land-allotment controversy,Article reported that the Congress government re-allotted a Panchkula plot despite earlier legal advice against re-allotment.,https://indianexpress.com/article/india/india-news-india/against-legal-advice-hooda-re-allotted-panchkula-plot-to-ajl/,Controversy / reporting
2016-01-29,Solar scam,Kerala,"Kerala CM Oommen Chandy to appeal order in solar scam, Congress jittery",Indian Express,Oommen Chandy,Court order / appeal,Vigilance court ordered registration of an FIR; Chandy said he would appeal.,https://indianexpress.com/article/india/india-news-india/solar-scam-case-kerala-court-orders-fir-against-cm-oommen-chandy/,Controversy / reporting
2016-04-25,Adarsh,Maharashtra,Why Adarsh demolition order has Congress crumbling,Indian Express,Ashok Chavan; Congress-NCP government,Commission / political controversy,"Article discussed the Adarsh Commission findings and political fallout; several allegations were against individuals, not the party as a whole.",https://indianexpress.com/article/explained/adarsh-housing-society-scam-why-adarsh-demolition-order-has-congress-crumbling-2776706/lite/,Controversy / reporting
2016-04-29,AgustaWestland,National,"AgustaWestland deal: Shah asks Sonia who took bribes, Congress hits back",Indian Express,Sonia Gandhi; UPA defence establishment,Political allegation / investigation,BJP demanded answers over alleged bribery in the VVIP helicopter deal; Congress rejected the allegations against its leadership.,https://indianexpress.com/article/india/india-news-india/vvip-chopper-scam-agustawestland-case-amit-shah-sonia-gandhi-2774600/,Allegation / political claim
2016-05-08,AJL Panchkula,Haryana,"AJL plot case: FIR against former Haryana CM Bhupinder Singh Hooda, four others",Indian Express,Bhupinder Singh Hooda; AJL,FIR / investigation,Haryana Vigilance registered a corruption/cheating case over the 2005 re-allotment.,https://indianexpress.com/article/india/india-news-india/heat-on-bhupinder-singh-hooda-as-haryana-files-fir-in-ajl-plot-allotment-case-2789753/,Investigation / legal proceeding
2016-05-12,AgustaWestland,National,"Never met Sonia, Manmohan or Antony, Gautam Khaitan ‘responsible for moving money’, says ‘middleman’ Christian Michel",Indian Express,Christian Michel; Sonia Gandhi; Manmohan Singh; A K Antony,Investigation / allegation,Christian Michel denied meeting senior Congress leaders; the article records competing claims surrounding the deal.,https://indianexpress.com/article/india/india-news-india/agustawestland-sonia-gandhi-manmohan-singh-ak-antony-congress-christian-michel-2794969/,Allegation / political claim
