Year,Election Type,Election,State/Level,Assembly/House Seats,INC Seats Won,INC Seats Not Won,Outcome,Government After Election,Primary Electoral Factor
2014,Lok Sabha,Lok Sabha,National,543,44,499,National defeat,BJP-led NDA formed government,Large BJP national wave; anti-incumbency; leadership and organisation gap
2014,State/UT Assembly,Andhra Pradesh Assembly,Andhra Pradesh,175,2,173,Major defeat,TDP-led government,Congress collapse after state bifurcation
2014,State/UT Assembly,Arunachal Pradesh Assembly,Arunachal Pradesh,60,42,18,Won / retained,Congress government,Incumbency and strong regional organisation
2014,State/UT Assembly,Odisha Assembly,Odisha,147,16,131,Defeat,BJD government,Strong Naveen Patnaik incumbency and regional-party dominance
2014,State/UT Assembly,Sikkim Assembly,Sikkim,32,0,32,Defeat,SDF government,Regional-party dominance
2014,State/UT Assembly,Telangana Assembly,Telangana,119,21,98,Defeat,TRS government,New-state sentiment and TRS dominance
2014,State/UT Assembly,Haryana Assembly,Haryana,90,15,75,Defeat,BJP government,Anti-incumbency and BJP expansion
2014,State/UT Assembly,Maharashtra Assembly,Maharashtra,288,42,246,Defeat,BJP-led government,Anti-incumbency and BJP-Shiv Sena strength
2014,State/UT Assembly,Jharkhand Assembly,Jharkhand,81,6,75,Defeat,BJP-led government,BJP alliance advantage
2014,State/UT Assembly,Jammu & Kashmir Assembly,Jammu & Kashmir,87,12,75,Defeat,PDP-BJP coalition,Regional polarisation and PDP/BJP competition
2015,State/UT Assembly,Delhi Assembly,Delhi,70,8,62,Major defeat,AAP government,AAP surge and collapse of Congress vote base
2015,State/UT Assembly,Bihar Assembly,Bihar,243,27,216,Alliance victory,Mahagathbandhan government,Grand Alliance successfully consolidated anti-BJP vote
2016,State/UT Assembly,Assam Assembly,Assam,126,26,100,Defeat,BJP-led government,Anti-incumbency and BJP-led alliance expansion
2016,State/UT Assembly,Kerala Assembly,Kerala,140,22,118,Defeat,LDF government,UDF anti-incumbency / normal alternation
2016,State/UT Assembly,Puducherry Assembly,Puducherry,30,15,15,Won,Congress-led government,Local leadership and alliance advantage
2016,State/UT Assembly,Tamil Nadu Assembly,Tamil Nadu,234,8,226,Defeat,AIADMK government,DMK-Congress alliance lost; AIADMK incumbency
2016,State/UT Assembly,West Bengal Assembly,West Bengal,294,44,250,Defeat,TMC government,TMC dominance; Congress vote concentrated in limited regions
