headline,link,government_context,state,case_or_issue,year,conviction_status,source_type
Bofors case: Supreme Court rejects final appeal against Hinduja acquittal,https://www.hindustantimes.com/india-news/whats-all-this-about-hinduja-brothers-cbi-sc-draws-curtain-on-bofors-case-rejects-plea-against-2005-acquittal-101786064310984.html,Union - Rajiv Gandhi era,India,Bofors,2026,No conviction; final challenge dismissed,News
Bofors case closed after Supreme Court dismisses last appeal,https://www.business-standard.com/india-news/sc-closes-bofors-case-rejects-final-plea-against-2005-hinduja-acquittal-126080700519_1.html,Union - Rajiv Gandhi era,India,Bofors,2026,No conviction; proceedings had been quashed,News
Supreme Court closes chapter on Bofors case,https://www.indiatoday.in/india/story/supreme-court-closes-bofors-case-rejects-plea-against-hinduja-brothers-acquittal-2965459-2026-08-07,Union - Rajiv Gandhi era,India,Bofors,2026,No conviction; final challenge dismissed,News
Curtains on Bofors cases,https://indianexpress.com/article/legal-news/curtains-on-bofors-cases-supreme-court-dismisses-last-pending-appeal-10823220/,Union - Rajiv Gandhi era,India,Bofors,2026,No conviction; proceedings quashed,News
2G spectrum case: all accused acquitted,https://indianexpress.com/article/india/2g-spectrum-case-verdict-a-raja-kanimozhi-all-acquitted-cbi-indicted-manmohan-singh-cag-vinod-rai-4993717/,UPA Congress-led Union government,India,2G Spectrum,2017,Acquitted; no conviction in trial court,News
2G Spectrum case: Special CBI Judge acquits all accused,https://www.scconline.com/blog/post/2017/12/21/2g-spectrum-case-special-cbi-judge-acquits-accused-money-laundering-case/,UPA Congress-led Union government,India,2G Spectrum,2017,Acquitted; all accused acquitted by trial court,Legal/News
Coal blocks allocation cases: convictions in multiple cases,https://indianexpress.com/article/explained/explained-recalling-the-coal-blocks-allocation-cases-allegations-investigation-and-what-now-6723961/,UPA Congress-led Union government,India,Coal Block Allocation,2018-2020,Multiple convictions in individual coal cases; not a blanket conviction of Congress,Explainer
AgustaWestland helicopter deal controversy,https://www.indiatoday.in/mail-today/story/agustawestland-scam-pm-modi-takes-a-dig-at-congress-once-again-322353-2016-05-08,UPA Congress-led Union government,India,AgustaWestland,2013+,Investigation/proceedings; conviction status varies by accused,News
Manesar land case: CBI chargesheets Bhupinder Hooda,https://indianexpress.com/article/india/bhupinder-hooda-chargesheet-haryana-manesar-land-deal-cbi-5049055/,Haryana Congress government,Haryana,Manesar Land Deal,2018,Chargesheet; no conviction established in cited report,News
"CBI files 80,000-page Manesar chargesheet",https://www.tribuneindia.com/news/archive/haryana/cbi-files-80-000-page-manesar-chargesheet-538033/,Haryana Congress government,Haryana,Manesar Land Deal,2018,Chargesheet; no conviction established,News
Manesar land case: CBI files chargesheet against Hooda and others,https://www.business-standard.com/article/pti-stories/manesar-land-case-cbi-files-charge-sheet-against-hooda-others-118020201361_1.html,Haryana Congress government,Haryana,Manesar Land Deal,2018,Chargesheet; no conviction established,News
Manesar land scam: Hooda chargesheeted,https://timesofindia.indiatimes.com/city/chandigarh/manesar-land-scam-former-haryana-cm-bhupinder-singh-hooda-chargesheeted/articleshow/62755290.cms,Haryana Congress government,Haryana,Manesar Land Deal,2018,Chargesheet; no conviction established,News
"Hooda ordered Manesar land release, CBI alleges",https://www.hindustantimes.com/india-news/former-haryana-cm-bhupinder-singh-hooda-ordered-manesar-land-release-on-his-own-cbi/story-Ni1QbVqrI5Lt4nV4Ipf17L.html,Haryana Congress government,Haryana,Manesar Land Deal,2018,Allegation in chargesheet; no conviction stated,News
"Hooda relatives had business interests in Manesar land, CBI says",https://www.hindustantimes.com/india-news/hooda-s-relatives-had-business-interests-in-manesar-land-cbi-in-scam-chargesheet/story-pj7DCcXZVzvJkeDLM9u8DI_amp.html,Haryana Congress government,Haryana,Manesar Land Deal,2018,Allegation in chargesheet; no conviction stated,News
Hooda named in land scam chargesheet,https://indianexpress.com/article/india/ex-haryana-cm-bhupinder-singh-hooda-named-in-land-scam-chargesheet-5049565/lite/,Haryana Congress government,Haryana,Manesar Land Deal,2018,Chargesheet; no conviction stated,News
CBI chargesheet in Manesar land deal,https://www.financialexpress.com/india-news/manesar-land-deal-case-cbi-files-chargesheet-against-bs-hooda-and-34-others/1048155/,Haryana Congress government,Haryana,Manesar Land Deal,2018,Chargesheet; no conviction stated,News
INX Media: ED files chargesheet against P Chidambaram and Karti,https://www.indiatoday.in/india/story/ed-files-chargesheet-against-p-chidambaram-son-karti-in-inx-media-case-1684853-2020-06-02,UPA Congress-led Union government,India,INX Media,2020,Chargesheet; no conviction established in cited article,News
INX Media: ED chargesheet against Chidambaram family,https://www.hindustantimes.com/india-news/ed-files-charge-sheet-against-pc-karti-in-inx-media-case/story-hxdvW9w2kWiF99FKkUOS1M.html,UPA Congress-led Union government,India,INX Media,2020,Chargesheet; no conviction established,News
"Rajasthan case against Congress leader in alleged ₹1,000-crore Jal Jeevan Mission scam",https://www.indiatoday.in/india/story/rajasthan-case-against-congress-leader-mahesh-joshi-jal-jeevan-mission-scam-2628475-2024-11-05,Rajasthan Congress government,Rajasthan,Jal Jeevan Mission,2024,FIR/case registered; no conviction established,News
A leaky pipeline: Jal Jeevan Mission scam,https://www.indiatoday.in/amp/magazine/nation/story/20260629-a-leaky-pipeline-jal-jeevan-mission-scam-2929673-2026-06-19,Rajasthan Congress government period,Rajasthan,Jal Jeevan Mission,2026,Chargesheet/investigation; no conviction established in article,News
Growing with the flow: forged tenders drove Rajasthan Jal Jeevan Mission case,https://theprint.in/india/the-making-of-rs-960-crore-rajasthan-jal-jeevan-mission-scam-that-triggered-manhunt-for-ex-ias/2882567/,Rajasthan Congress government period,Rajasthan,Jal Jeevan Mission,2026,Investigation/chargesheet; no conviction established,News
Rajasthan Jal Jeevan Mission water-scam political dispute,https://indianexpress.com/article/political-pulse/rajasthan-water-scam-bjp-congress-row-9033228/,Rajasthan Congress government,Rajasthan,Jal Jeevan Mission,2023-24,Investigation/allegations; no conviction established,News
Rajasthan ACB arrests former Congress minister Mahesh Joshi,https://www.newindianexpress.com/states/rajasthan/2026/May/07/acb-arrests-ex-rajasthan-minister-mahesh-joshi-in-jal-jeevan-mission-scam-2,Rajasthan Congress government,Rajasthan,Jal Jeevan Mission,2026,Arrest/investigation; no conviction established,News
Rajasthan ACB arrest of Mahesh Joshi in Jal Jeevan case,https://indianexpress.com/article/india/rajasthan-acb-arrests-former-congress-minister-mahesh-joshi-jal-jeevan-10677050/,Rajasthan Congress government,Rajasthan,Jal Jeevan Mission,2026,Arrest/investigation; no conviction established,News
Rajasthan ₹237 crore advertisement case,https://timesofindia.indiatimes.com/city/jaipur/supreme-court-issues-notices-in-237-crore-raj-ad-scam-case/articleshow/121039608.cms,Rajasthan Congress government period,Rajasthan,Advertisement Expenditure,2025,Court proceedings; no conviction established,News
Chhattisgarh alleged liquor scam: investigation explained,https://indianexpress.com/article/explained/liquor-scam-chhattisgarh-investigation-9789210/,Chhattisgarh Congress government,Chhattisgarh,Liquor Policy / Excise,2024,Investigation/arrests; no conviction established,Explainer
Chhattisgarh ex-excise minister allegedly made ₹64 crore,https://indianexpress.com/article/india/chhattisgarh-ex-excise-minister-made-rs-64-crore-in-liquor-scam-eow-10105469/,Chhattisgarh Congress government,Chhattisgarh,Liquor Scam,2025,Chargesheet allegation; no conviction established,News
Chhattisgarh High Court grants bail in alleged liquor scam,https://www.newindianexpress.com/preview/story/IPIbgvtkBwo2CWTH1r0vyoQzHVQARTYmJl7Ikkp0rE0TXI-zPGfP7IocUFCqZL6f,Chhattisgarh Congress government,Chhattisgarh,Liquor Scam,2026,Bail; no conviction established,News
Chhattisgarh coal levy case: EOW supplementary chargesheet,https://timesofindia.indiatimes.com/city/raipur/eow-files-fresh-chargesheet-against-2/articleshow/124398973.cms,Chhattisgarh Congress government,Chhattisgarh,Coal Levy,2025,Chargesheet; no conviction established,News
Chhattisgarh coal levy case: property attachments,https://timesofindia.indiatimes.com/city/raipur/coal-levy-scam-chhattisgarh-eow-attaches-16-properties-involving-former-dy-secy-to-ex-cm/articleshow/124098405.cms,Chhattisgarh Congress government,Chhattisgarh,Coal Levy / Disproportionate Assets,2025,Property attachment/investigation; no conviction established,News
Karnataka Valmiki Corporation scam disrupts Assembly,https://indianexpress.com/article/political-pulse/karnataka-monsoon-session-curtailed-valmiki-scam-bjp-protest-minister-b-nagendra-resignation-10848855/,Karnataka Congress government,Karnataka,Valmiki ST Corporation,2026,Political controversy/investigation; no conviction established,News
Valmiki Corporation scam: ED raids premises of Congress MP and MLAs,https://www.theweek.in/news/india/2025/06/11/valmiki-corporation-scam-ed-raids-premises-of-congress-mp-and-three-ml-as-in-karnataka.html,Karnataka Congress government,Karnataka,Valmiki ST Corporation,2025,ED investigation/chargesheet; no conviction established,News
